ensembl_id,log2FC,padj,comp_name
ENSG00000135048,0.601,1.1770454474148601e-15,ENSG00000135048_amide
ENSG00000139722,0.955,1.1770454474148601e-15,ENSG00000139722_amide
ENSG00000169429,0.76,1.4871830949012402e-15,ENSG00000169429_amide
ENSG00000115008,0.803,1.5578032383908401e-15,ENSG00000115008_amide
ENSG00000163527,0.445,1.6194383539687401e-15,ENSG00000163527_amide
ENSG00000181789,-0.536,1.7231816612378202e-15,ENSG00000181789_amide
ENSG00000101350,0.52,1.87574835822567e-15,ENSG00000101350_amide
ENSG00000151233,0.854,2.34806408872249e-15,ENSG00000151233_amide
ENSG00000206418,0.882,2.90268159305766e-15,ENSG00000206418_amide
ENSG00000117525,-0.663,2.9062936684742202e-15,ENSG00000117525_amide
ENSG00000198668,0.637,5.20450853078413e-15,ENSG00000198668_amide
ENSG00000114573,0.597,7.335173167575051e-15,ENSG00000114573_amide
ENSG00000260804,1.514,9.348159662501621e-15,ENSG00000260804_amide
ENSG00000272886,-0.572,1.32778300472196e-14,ENSG00000272886_amide
ENSG00000107263,0.64,1.5169123237884e-14,ENSG00000107263_amide
ENSG00000128923,-0.745,1.5255015516479302e-14,ENSG00000128923_amide
ENSG00000167881,0.697,2.20749523161103e-14,ENSG00000167881_amide
ENSG00000131747,0.656,2.3841505326459802e-14,ENSG00000131747_amide
ENSG00000116128,-0.693,2.45001362156765e-14,ENSG00000116128_amide
ENSG00000166263,-0.875,2.9096078120958904e-14,ENSG00000166263_amide
ENSG00000134287,-0.515,3.8496436461769e-14,ENSG00000134287_amide
ENSG00000153944,-0.472,3.91966498982318e-14,ENSG00000153944_amide
ENSG00000136381,0.603,4.2772132188688604e-14,ENSG00000136381_amide
ENSG00000164983,-0.81,1.32976199701507e-13,ENSG00000164983_amide
ENSG00000125686,-0.501,1.7266607823258e-13,ENSG00000125686_amide
ENSG00000169446,-0.55,2.42408691411578e-13,ENSG00000169446_amide
ENSG00000105810,-0.513,3.27407232184849e-13,ENSG00000105810_amide
ENSG00000112096,0.53,3.3827304769410997e-13,ENSG00000112096_amide
ENSG00000052802,0.645,4.55402494929327e-13,ENSG00000052802_amide
ENSG00000119125,-0.508,5.00602340201251e-13,ENSG00000119125_amide
ENSG00000075945,0.927,5.36917305629163e-13,ENSG00000075945_amide
ENSG00000123146,0.607,5.97235589211697e-13,ENSG00000123146_amide
ENSG00000109572,0.665,7.57160234082931e-13,ENSG00000109572_amide
ENSG00000109436,0.707,9.00731878102534e-13,ENSG00000109436_amide
ENSG00000075568,0.529,1.0131084324451599e-12,ENSG00000075568_amide
ENSG00000106484,-0.559,1.1239128527149399e-12,ENSG00000106484_amide
ENSG00000101849,0.586,1.27006996837696e-12,ENSG00000101849_amide
ENSG00000134070,0.49,1.35794482213219e-12,ENSG00000134070_amide
ENSG00000153317,-0.521,1.5336319934568698e-12,ENSG00000153317_amide
ENSG00000065809,0.596,1.5336319934568698e-12,ENSG00000065809_amide
ENSG00000121481,0.931,1.96839075263296e-12,ENSG00000121481_amide
ENSG00000140157,0.546,2.05366307199591e-12,ENSG00000140157_amide
ENSG00000162769,-0.718,2.07217182606754e-12,ENSG00000162769_amide
ENSG00000115232,1.138,2.14684889707262e-12,ENSG00000115232_amide
ENSG00000143442,-0.581,2.31878654258755e-12,ENSG00000143442_amide
ENSG00000144810,0.778,2.7657463177345398e-12,ENSG00000144810_amide
ENSG00000189266,-0.546,3.7026958018668695e-12,ENSG00000189266_amide
ENSG00000035403,0.414,4.08885840303186e-12,ENSG00000035403_amide
ENSG00000119396,0.53,4.1348423453818e-12,ENSG00000119396_amide
ENSG00000150867,-0.561,6.57521313833763e-12,ENSG00000150867_amide
ENSG00000115762,-0.734,7.44627994018855e-12,ENSG00000115762_amide
ENSG00000087274,0.477,7.47049908037748e-12,ENSG00000087274_amide
ENSG00000129317,-0.61,7.97321569874575e-12,ENSG00000129317_amide
ENSG00000119335,-0.419,7.97321569874575e-12,ENSG00000119335_amide
ENSG00000180979,-0.872,8.98913175507936e-12,ENSG00000180979_amide
ENSG00000114383,-1.03,1.0817416064166099e-11,ENSG00000114383_amide
ENSG00000172572,0.338,1.3425308060185698e-11,ENSG00000172572_amide
ENSG00000144560,0.666,1.4124846239262898e-11,ENSG00000144560_amide
ENSG00000148572,0.968,1.52858940627962e-11,ENSG00000148572_amide
ENSG00000028203,0.626,1.62533382448857e-11,ENSG00000028203_amide
ENSG00000136999,-0.61,1.7238037582139198e-11,ENSG00000136999_amide
ENSG00000185215,0.443,1.9278510082588898e-11,ENSG00000185215_amide
ENSG00000162129,-0.53,2.0178086940774e-11,ENSG00000162129_amide
ENSG00000118985,0.394,2.1073249491613597e-11,ENSG00000118985_amide
ENSG00000144566,-0.485,2.3939885662623497e-11,ENSG00000144566_amide
ENSG00000164442,-0.671,2.6223021027204697e-11,ENSG00000164442_amide
ENSG00000197930,-0.584,2.6223021027204697e-11,ENSG00000197930_amide
ENSG00000150756,0.707,2.78364363219072e-11,ENSG00000150756_amide
ENSG00000145907,-0.453,2.9978412018956495e-11,ENSG00000145907_amide
ENSG00000115084,0.511,3.13808408466186e-11,ENSG00000115084_amide
ENSG00000172575,-1.012,3.2038481713253e-11,ENSG00000172575_amide
ENSG00000071054,0.534,4.38293445450336e-11,ENSG00000071054_amide
ENSG00000068366,0.447,4.4574710711314e-11,ENSG00000068366_amide
ENSG00000107341,-0.362,5.911402286636559e-11,ENSG00000107341_amide
ENSG00000138685,0.47,6.020636606829719e-11,ENSG00000138685_amide
ENSG00000052723,-0.565,8.94333664632752e-11,ENSG00000052723_amide
ENSG00000180182,-0.522,9.122150953107619e-11,ENSG00000180182_amide
ENSG00000108064,-0.734,1.08228474757381e-10,ENSG00000108064_amide
ENSG00000023171,0.454,1.14753531225422e-10,ENSG00000023171_amide
ENSG00000142166,0.455,1.17812136153391e-10,ENSG00000142166_amide
ENSG00000137941,0.633,1.28673292190531e-10,ENSG00000137941_amide
ENSG00000164023,0.509,1.4044360063636002e-10,ENSG00000164023_amide
ENSG00000159873,0.504,1.70770109462681e-10,ENSG00000159873_amide
ENSG00000144029,0.839,1.74489700151413e-10,ENSG00000144029_amide
ENSG00000162104,0.447,2.65252093219632e-10,ENSG00000162104_amide
ENSG00000101182,0.684,3.7826663512113603e-10,ENSG00000101182_amide
ENSG00000115935,0.47,4.20110089673888e-10,ENSG00000115935_amide
ENSG00000122376,0.578,5.72456047026548e-10,ENSG00000122376_amide
ENSG00000159322,-0.575,6.38467615367902e-10,ENSG00000159322_amide
ENSG00000140406,-0.609,7.15149370738566e-10,ENSG00000140406_amide
ENSG00000103429,0.572,8.06972902960587e-10,ENSG00000103429_amide
ENSG00000177058,0.693,8.21530129823803e-10,ENSG00000177058_amide
ENSG00000264364,-0.568,8.38530781846937e-10,ENSG00000264364_amide
ENSG00000184207,0.843,9.8344344500854e-10,ENSG00000184207_amide
ENSG00000185900,0.717,1.09682814219004e-09,ENSG00000185900_amide
ENSG00000166326,-0.39,1.1324636719099e-09,ENSG00000166326_amide
ENSG00000120889,0.522,1.1688325228403701e-09,ENSG00000120889_amide
ENSG00000092853,0.467,1.18318272260692e-09,ENSG00000092853_amide
ENSG00000175130,-0.745,1.39455520119838e-09,ENSG00000175130_amide
ENSG00000183283,-0.386,1.39455520119838e-09,ENSG00000183283_amide
ENSG00000137492,0.528,1.4112611256324802e-09,ENSG00000137492_amide
ENSG00000113569,0.297,1.7080709002521802e-09,ENSG00000113569_amide
ENSG00000148175,-0.376,2.0127197759448e-09,ENSG00000148175_amide
ENSG00000183741,0.64,2.2736616677608303e-09,ENSG00000183741_amide
ENSG00000138757,0.426,2.84909881716138e-09,ENSG00000138757_amide
ENSG00000145685,0.495,2.84909881716138e-09,ENSG00000145685_amide
ENSG00000164171,0.503,3.0716240442004504e-09,ENSG00000164171_amide
ENSG00000140199,-0.519,3.1214680898044904e-09,ENSG00000140199_amide
ENSG00000100030,0.369,3.1214680898044904e-09,ENSG00000100030_amide
ENSG00000261609,-0.53,3.40196661202854e-09,ENSG00000261609_amide
ENSG00000116285,0.551,3.7108780002265504e-09,ENSG00000116285_amide
ENSG00000177888,-0.501,4.101218492734011e-09,ENSG00000177888_amide
ENSG00000115020,-0.382,4.46314874855724e-09,ENSG00000115020_amide
ENSG00000242485,-0.552,4.50309566588722e-09,ENSG00000242485_amide
ENSG00000149289,0.546,4.765848417406251e-09,ENSG00000149289_amide
ENSG00000147475,0.594,5.37642897828589e-09,ENSG00000147475_amide
