ensembl_id,MR10_unmod_1,MR11_unmod_2,MR12_unmod_3,MR1_NT_1,MR2_NT_2,MR3_NT_3,MR4_Amide3_1,MR5_Amide3_2,MR6_Amide3_3,MR7_GNA7_1,MR8_GNA7_2,MR9_GNA7_3,mean_nt,mean_unmod,mean_amide,mean_gna
ENSG00000000003,391.11866793925503,361.91503621531785,348.79345452637966,401.479214097553,428.3928497801655,485.65302558566094,405.6766659842863,395.13218658311075,378.9779042578665,424.91001346584557,406.7479851377954,365.17906052671253,438.5083631544598,367.27571956031755,393.26225227508786,398.9456863767845
ENSG00000000005,2.800372324147411,0.0,2.082348982247043,4.523709454620315,6.82154219395168,0.8878483100286306,1.9456914435697183,3.0162762334588606,0.9110045775429483,0.0,0.0,0.0,4.077699986200209,1.6275737687981513,1.957657418190509,0.0
ENSG00000000419,513.4015927603587,623.1084349933539,592.4282854492836,478.38227482609835,443.4002426068592,581.5406430687531,501.01554671920246,573.0924843571835,549.3357602583978,596.8148802513753,574.3826149958409,544.9936739167655,501.1077201672369,576.3127710676654,541.147930444928,572.0637230546605
ENSG00000000457,201.6268073386136,216.80759244974232,161.3820461241458,144.75870254785008,145.98100295056594,133.1772465042946,144.954012545944,133.7215796833428,119.34159965812623,162.8937245749979,159.12525778403295,136.52591016652173,141.3056506675702,193.27214863750055,132.67239729580436,152.8482975085175
ENSG00000000460,513.4015927603587,518.9725047615879,506.01080268603135,477.2513474624433,537.5375248833924,427.9428854338,462.10171784780806,442.3871809072995,460.9683162367318,493.53332722297233,471.4192129002901,459.52623421902433,480.91058592654525,512.7949667359927,455.1524049972798,474.82625811409554
ENSG00000000938,4.667287206912351,10.242878383452393,3.123523473370564,3.3927820909652366,10.914467510322687,2.6635449300858918,9.728457217848591,3.0162762334588606,7.288036620343586,2.772659141702092,1.7018744148024914,2.2199334986426296,5.656931510457938,6.0112296879117695,6.6775900238836785,2.2314890183824043
ENSG00000000971,787.8380805268049,732.3658044168461,704.875130490624,517.9647325540261,541.6304501997633,587.7555812389535,655.6980164829951,701.7869369847616,629.5041630821772,643.9500856603108,598.2088568030757,627.1312133665429,549.1169213309144,741.6930051447583,662.3297055166446,623.0967186099765
ENSG00000001036,1042.6719620242193,950.8805432638304,1033.8862696856568,1004.26349892571,852.69277424396,1108.034690915731,1062.3475281890662,991.3494553968121,999.3720215646143,1114.6089749642408,1070.479006910767,1074.4478133430327,988.3303213618004,1009.1462583245689,1017.6896683834975,1086.5119317393471
ENSG00000001084,1548.6058952535182,1427.1743880943666,1427.4502273303478,1331.1015070220278,1418.8807763419493,1472.0524980274695,1243.29683244105,1183.3857089270264,1237.1442163033237,1529.8146814341292,1599.7619499143418,1516.214579572916,1407.3449271304823,1467.7435035594108,1221.2755858904666,1548.597070307129
ENSG00000001167,460.1945186015579,392.64367136567506,409.1815750115439,323.44522600535254,278.31892151322853,377.33553176216805,378.4369857743102,405.1864406946403,371.6898676375229,373.61581934435685,398.23861306378296,380.718595017211,326.3665597602497,420.6732549929256,385.10443136882446,384.1910091417836
ENSG00000001460,155.88739271087255,141.69315097109143,158.25852265077523,123.2710826384036,159.6240873384693,129.62585326418008,119.66002377953767,139.75413215026055,114.78657677041149,135.16713315797696,121.68402065837813,137.63587691584303,137.50700774701767,151.9463554442464,124.73357756673657,131.49567691073273
ENSG00000001461,186.69148827649406,186.07895729938514,195.74080433122202,301.95760609590604,297.41923965629326,330.2795713306506,272.3968020997606,292.5787946455095,276.94539157305627,334.79859136052755,251.02647618336746,290.81128832218445,309.88547236094996,189.50374996903375,280.64032943944216,292.2121186220265
ENSG00000001497,768.235474257773,778.4587571423818,751.7279825911825,850.4573774686193,789.9345860596045,862.988557347829,851.2400065617518,884.774361814599,841.7682296496843,892.1030788426481,812.6450330681896,818.0454942498089,834.4601736253509,766.1407379971124,859.2608660086784,840.9312020535489
ENSG00000001561,4.667287206912351,6.828585588968262,1.0411744911235215,4.523709454620315,6.82154219395168,3.5513932401145225,4.864228608924296,7.0379778780706745,4.555022887714742,2.0794943562765686,3.4037488296049827,4.439866997285259,4.96554829622884,4.1790157623347115,5.485743124903237,3.307703394388937
ENSG00000001617,3630.215989536427,3711.33626760425,3845.0573957191646,3260.463589417592,3146.0952598505146,3149.197955671553,3166.6128244097163,3112.797072929544,3071.907435474822,3308.475520836021,3145.9148557624053,3191.15440429878,3185.2522683132197,3728.8698842866143,3117.105777604694,3215.181593632402
ENSG00000001626,17.735691386266936,39.26436713656751,2.082348982247043,16.963910454826184,20.46462658185504,15.98126958051535,24.32114304462148,22.119359045364977,14.576073240687172,4.158988712553137,5.95656045180872,6.659800495927889,17.803268872398856,19.69413583502716,20.338858443557875,5.591783220096581
ENSG00000001629,2042.404881744845,2053.697115882205,1961.5727412767142,1707.700319119169,1815.8945320299372,1813.8740973884924,1949.5828264568577,1883.161795089482,1846.6062786795562,1897.8851824950818,1821.856561046067,1916.9125760779107,1779.1563161791994,2019.2249129679215,1893.1169667419654,1878.8847732063532
