base,uint8_0,uint8_1,uint8_2,uint8_3,uint8_4,uint8_5,uint8_6,uint8_7,uint8_8,uint8_9,uint8_10,uint8_11,uint8_12,uint8_13,uint8_14,uint8_15,uint8_16,uint8_17,uint8_18,uint8_19,uint8_20,uint8_21,uint8_22,uint8_23,uint8_24,uint8_25,uint8_26,uint8_27,uint8_28,uint8_29,uint8_30,uint8_31,uint8_32,uint8_33,uint8_34,uint8_35,uint8_36,uint8_37,uint8_38,uint8_39,uint8_40,uint8_41,uint8_42,uint8_43,uint8_44,uint8_45,uint8_46,uint8_47,uint8_48,uint8_49,uint8_50,uint8_51,uint8_52,uint8_53,uint8_54,uint8_55,uint8_56,uint8_57,uint8_58,uint8_59,uint8_60,uint8_61,uint8_62,uint8_63
AG,1.0,64.0,0.0,8.0,8.0,4.0,64.0,0.0,65.0,16.0,129.0,40.0,32.0,0.0,128.0,64.0,128.0,96.0,144.0,192.0,144.0,0.0,1.0,73.0,32.0,16.0,64.0,0.0,36.0,66.0,0.0,8.0,2.0,0.0,32.0,0.0,17.0,0.0,8.0,33.0,0.0,2.0,66.0,64.0,8.0,0.0,0.0,32.0,66.0,0.0,0.0,130.0,9.0,8.0,80.0,0.0,42.0,9.0,0.0,0.0,64.0,68.0,0.0,24.0
R3-R4,76.0,196.0,0.0,0.0,0.0,4.0,16.0,0.0,10.0,16.0,132.0,32.0,32.0,0.0,148.0,16.0,128.0,168.0,216.0,128.0,0.0,0.0,3.0,65.0,0.0,64.0,0.0,128.0,16.0,97.0,0.0,0.0,8.0,2.0,0.0,129.0,1.0,128.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,96.0,2.0,0.0,2.0,1.0,0.0,0.0,128.0,2.0,65.0,2.0,66.0,80.0,0.0,1.0,88.0
